,poolID,liquidity,FeeTier,sqrtPrice,t0id,t0symbol,t0decimals,t1id,t1symbol,t1decimals,feeGrowthGlobal0X128,feeGrowthGlobal1X128,token0Price,token1Price,tick,observationIndex,volumeToken0,volumeToken1,volumeUSD,untrackedVolumeUSD,feesUSD,txCount,collectedFeesToken0,collectedFeesToken1,collectedFeesUSD,liquidityProviderCount,totalValueLockedUSD,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1
191,0xe931b03260b2854e77e8da8378a1bc017b13cb97,1832513241053739088603,10000,2433152318411484428330790721,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,1338334545392985747641547357719388184614,3452095399724578952021074209839500864,1060.280009131864977053653407577765,0.0009431470850976234253091362296018033,-69667,0,15888949.659892070098649838,14584.134868147193956768,51023850.43466554647437404245416102,51023850.43466554647437404245416102,510238.5043466554647437404245416102,1809,0,0,0,0,716871.9529240550496844748287932836,160.4578248870211909627954277617937,68439.574826045577702823,95.613854749928122981
192,0xe744f5e2edfdcb9fdb43b288ecb8b21c8487e888,24595936303605396890235418,500,115387358287470306027189589937332194,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xfb130d93e49dca13264344966a611dc79a456bc5,DOGEGF,18,9520973235731500734472642850736,53437094427578801594024899062195221801855415,0.0000000000004714576708177082921861377561824237,2121081195403.129867669297076152948,283843,0,14382.844897890851578911,59419869420171240.033473841668694,50948051.06830495061159128254857828,35173111.5439481703248044776054516,25474.02553415247530579564127428961,13414,0,0,0,0,92706.76687435038826287293037868052,20.615051453034236685,20.615051453034236685,1821031134288715.230917531564859032
193,0x59c38b6775ded821f010dbd30ecabdcf84e04756,110061709407545683008410,3000,22755200636652779362369741559,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,18,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,18,10785543477088865706645677869856202069,824906770087030397677720576891765290,12.12265733243691789566171787292268,0.08249016470376287056340622230247033,-24953,0,2098226.807955165131065227,155164.793425827700242329,50921158.46713175097398407284795851,50916417.88181792580516698952841433,152763.4754013952529219522185438755,1917,0,0,0,0,1851652.193333086505158225685146558,410.4417767144504376764684554258809,23082.961034009537466907,5141.383292180907124721
194,0xc5af84701f98fa483ece78af83f11b6c38aca71d,1389992193460307,10000,5310122337285233958472606,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,473803652583933564238824690895895920935645,1348378664059217513888546767525759,0.000222612790727321578574638021623751,4492.104863933447845656645217820425,-192220,0,20631.49229673980209402,50817395.298509,50860085.83830268566698011104380505,50860085.83830268566698011104380505,508600.8583830268566698011104380505,13147,0,0,0,0,1023791.699002884521621278594794171,226.6417718397502209880447374598093,103.313605299976037103,557100.979805
195,0x3782a3425cd093d5cd0c5b684be72641e199029c,1570051546517584248736,10000,11018396427340084851009256837,0x7d647b1a0dcd5525e9c6b3d14be58f27674f8c95,BYTES,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,1176849711715192785401420431479043308362,15872812175488393885206658483229124877,51.70379014000942539156704968958568,0.01934094187857574543469471992537413,-39458,0,717245.629757741905500078,11639.614490205104411581,50792518.33237627359568695695058995,50098600.56127812434189679614014042,507925.1833237627359568695695058995,9307,0,0,0,0,931665.001618716939498426193418978,207.1728158893973618536258169255311,5865.699907314224205524,93.724654904865814469
196,0x94e4b2e24523cf9b3e631a6943c346df9687c723,7845112877477981095513,500,8063511370965626885536150,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,120276475103002742196193492680206599152157,528086157062423904310255877730385,96540770.81405734285179090404531242,0.00000001035831795797501104162390450400037,-183864,0,6329762994996.66031816974270482,23510.181386948081302168,49876939.15259219687994587620674474,49251261.63560293913067882406869701,24938.46957629609843997293810337227,32745,0,0,0,0,108682.0649926043119924892898278013,24.14375342540737238010547772029571,1664620830.721428932163753096,7.068857819610899514
197,0xc4d9c69962ddb2388e1532279704fc6eb199c963,2998344157547799685,10000,31510071714536628800562,0x3b3f95938958a4029fa8b01873e2721b02950883,CSWAP,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,461666042122594307435703384502727323209307147,67448280735978333077207034631316,6.322085781559081954543005985340594,0.1581756455941967945436352254318212,-294766,0,248271499.258880589449578431,49269330.795432,49269330.795432,46607087.47922750623914390757404181,492693.30795432,10232,0,0,0,0,1241061.966125930543627997011055764,275.9729106157458834782632152358958,5887181.055375411502990312,309853.301962
198,0x8ecc2244e67d0bb6a1850b1db825e25354cf881a,4910191696085887380170,3000,1876393557875967974699338655,0x18aaa7115705e8be94bffebde57af9bfc265b998,AUDIO,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,1569854530679172749231103094844473261660,3727480125252186124468768273233555689,1782.83561409995046508693741621362,0.0005609042090539803202718800378471008,-74864,0,20220823.032720736117993676,14965.649446517579640317,49127372.92380850636267044943114871,364988957.5872857437524246431352701,147382.118771425519088011348293443,9137,0,0,0,0,227133.2311214566608671872329792448,50.507243474567091499,125112.31503695976798425,50.507243474567091499
199,0xb404057ee4b1d7359ca5a57ac1c020b74c23e56b,35727348373344211641895,3000,8535077854673821203895704413,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,FTX Token,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,12366442121507080994309161886280037228,144079031581208627420340500234929416,86.16763902120308501983192155496758,0.01160528489998353276902802868184064,-44566,0,856102.431449272431956906,11302.700417332660974629,49025531.86867916001782242836465161,49047700.51173811053383383353669268,147076.5956060374800534672850939542,1738,0,0,0,0,21728088.64889770200524326818504118,4816.301539658755261062011631246148,321044.349263886474453685,1090.490400921534155222
200,0x5f7e8408e573e934b0df49ba5b569c30f1ebbad4,138964471301958433,10000,9882654655050489828815124232578195,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ENS,18,357764791993050758306959505244750,6960823689859555446243147164825225403090557,64.27053701309998382018929578808183,0.01555922894803530819302344627020956,234690,0,47298403.786239,982595.65018193956419298,47298403.786239,46771420.94129664503799423929946714,472984.03786239,3575,0,0,0,0,1166047.434306063174471093226203218,259.2920524073285502642664095366877,587935.17804,9092.155215778626183313
