,Close,High,Low,Open,psUnix
1758,338447508.2257014128020125422313042,338447508.2257014128020125422313042,338447508.2257014128020125422313042,338447508.2257014128020125422313042,1627185600
1759,341551408.3597893470561012639153285,348755150.2796303608874592191316043,341551408.3597893470561012639153285,348755150.2796303608874592191316043,1627189200
1760,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,1627192800
1761,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,1627196400
1762,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,1627200000
1763,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,1627207200
1764,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,1627214400
1765,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,341551408.3597893470561012639153285,1627221600
1766,341665260.6798451987015143285148,341665260.6798451987015143285148,341665260.6798451987015143285148,341665260.6798451987015143285148,1627228800
1767,343159057.5242048577608884043212191,343159057.5242048577608884043212191,341960499.0335493822982265974754791,341960499.0335493822982265974754791,1627236000
1768,344449140.4116835395639650574234072,344449140.4116835395639650574234072,343166438.0778636205603819433430495,343166438.0778636205603819433430495,1627239600
1769,344594067.4273636510458430760142558,344594067.4273636510458430760142558,344514738.3732064338035540938308259,344514738.3732064338035540938308259,1627243200
1770,345529412.8777245720986196051874474,345529412.8777245720986196051874474,344692886.8584362555354652691016476,344692886.8584362555354652691016476,1627246800
1771,345529412.8777245720986196051874474,345529412.8777245720986196051874474,345529412.8777245720986196051874474,345529412.8777245720986196051874474,1627254000
1772,345705082.2381531051979588871006453,345705082.2381531051979588871006453,345529412.8777245720986196051874474,345529412.8777245720986196051874474,1627257600
1773,346179659.985529775540449161615201,349432404.0872289286685226830262527,346179659.985529775540449161615201,347877282.9317495756987241890119087,1627261200
1774,345799581.871976088440875079414664,346179659.985529775540449161615201,345799581.871976088440875079414664,346179659.985529775540449161615201,1627264800
1775,340302770.5673455607310628470222654,345799581.871976088440875079414664,340302770.5673455607310628470222654,345799581.871976088440875079414664,1627268400
1776,340302770.5673455607310628470222654,340302770.5673455607310628470222654,340302770.5673455607310628470222654,340302770.5673455607310628470222654,1627272000
1777,347535592.3144612034446959260883544,347535592.3144612034446959260883544,342809293.1285423174870810750340375,342809293.1285423174870810750340375,1627275600
1778,349910167.9824660848881218851145875,349910167.9824660848881218851145875,347535592.3144612034446959260883544,347535592.3144612034446959260883544,1627282800
1779,351694126.7836392502789065839877491,351694126.7836392502789065839877491,350513564.4564078537351334694390933,350513564.4564078537351334694390933,1627286400
1780,351694126.7836392502789065839877491,351694126.7836392502789065839877491,351694126.7836392502789065839877491,351694126.7836392502789065839877491,1627297200
1781,351863349.2158156981418045396627628,351863349.2158156981418045396627628,351863349.2158156981418045396627628,351863349.2158156981418045396627628,1627300800
1782,353368227.711144381019052368511988,353368227.711144381019052368511988,353368227.711144381019052368511988,353368227.711144381019052368511988,1627304400
